Location_Name,Address,Zip,City,Latitude,Longitude,Geometry,URL,Category,Description,Type,Service,Target_Group
Coworking Erlangen,Henkestraße 91,91052,Erlangen,49.5947114000000,11.018681800000,Point,https://coworking-erlangen.de/,Coworking Space,"Coworking Erlangen ist ein von der Community getriebener Coworking Space in der Nürnberger Innenstadt. Es bietet flexible Arbeitsplatzlösungen und eine Plattform für kreative und technologieorientierte Zusammenarbeit. Der Raum fördert Kollaboration und Networking und richtet sich an Einzelpersonen sowie Teams, die einen inspirierenden und dynamischen Arbeitsort suchen.",Coworking Space,"Coworking Mitgliedschaft ab einem Tag, Buchung von Meetingräumen stunden- oder tageweise, Registrierung einer Geschäftsadresse (Postbox), Veranstaltungsort für Community-Events und Meetups","Freiberufler, Selbständige, Programmierer, Teams, Unternehmen"
CoWorking Fürth,Moststraße 33,90762,Fürth,49.4730213327453,10.992595459410,Point,https://coworking-fuerth.de/,Coworking Space,"Coworking Fürth ist ein von der Community getriebener Coworking Space in der Nürnberger Innenstadt. Es bietet flexible Arbeitsplatzlösungen und eine Plattform für kreative und technologieorientierte Zusammenarbeit. Der Raum fördert Kollaboration und Networking und richtet sich an Einzelpersonen sowie Teams, die einen inspirierenden und dynamischen Arbeitsort suchen.",Coworking Space,"Coworking Mitgliedschaft ab einem Tag, Buchung von Meetingräumen stunden- oder tageweise, Registrierung einer Geschäftsadresse (Postbox), Veranstaltungsort für Community-Events und Meetups","Freiberufler, Selbständige, Programmierer, Teams, Unternehmen"
Coworking Koppenhof Bamberg,Nürnberger Str. 108e,96050,Bamberg,49.8921926999999,10.905956089367,Point,https://coworking-koppenhof-bamberg.business.site/,Coworking Space,"Coworking Koppenhof Bamberg bietet in der Nürnberger Straße in Bamberg eine moderne und zugängliche Co-Working-Fläche. Es ist ein idealer Ort für diejenigen, die in einer gemeinschaftlichen Umgebung arbeiten und sich vernetzen möchten",Coworking Space,"Schreibtisch-/Arbeitsplatzvermietung, separater Besprechungsraum, kleine Küche mit Kaffee/Tee","Freiberufler, Selbständige, Programmierer, Teams, Unternehmen"
Coworking Nürnberg,Josephsplatz 8,90403,Nürnberg,49.4516949000000,11.073492500000,Point,https://coworking-nuernberg.de/,Coworking Space,"Coworking Nürnberg ist ein von der Community getriebener Coworking Space in der Nürnberger Innenstadt. Es bietet flexible Arbeitsplatzlösungen und eine Plattform für kreative und technologieorientierte Zusammenarbeit. Der Raum fördert Kollaboration und Networking und richtet sich an Einzelpersonen sowie Teams, die einen inspirierenden und dynamischen Arbeitsort suchen.",Coworking Space,"Coworking Mitgliedschaft ab einem Tag, Buchung von Meetingräumen stunden- oder tageweise, Registrierung einer Geschäftsadresse (Postbox), Veranstaltungsort für Community-Events und Meetups","Freiberufler, Programmierer, Teams, Unternehmen"
Coworkingspace Kreativlabor,Schiffstraße 7,91054,Erlangen,49.5999552000000,11.003997119173,Point,http://www.kreativlabor-erlangen.com/,Coworking Space,"Das Kreativlabor in Erlangen bietet nicht nur einen Coworking Space, sondern auch verschiedene Workshops und Veranstaltungen in den Bereichen Kunst und Handwerk. Es richtet sich an kreative Köpfe, die sowohl praktische Fähigkeiten erlernen als auch ihre eigenen Projekte umsetzen möchten. Das Kreativlabor bietet zudem eine Plattform für regionale Künstler und Designer, um ihre Werke auszustellen und zu verkaufen.",Raum für kreative Arbeit und Workshops,"Kunst- und Handwerker-Workshops, Goldschmiede-Techniken, Raum für kreative Projekte und Coworking, Kunstausstellungen, handgemachte Produkte ""Made in Erlangen""","Künstler, Heimwerker, Kreative, Interessierte an Kunst und Handarbeit"
Design Offices Erlangen Paul Carré,Paul-Gossen-Straße 75,91052,Erlangen,49.5781291000000,11.003653300000,Point,https://www.designoffices.de/standorte/buero-mieten-erlangen/erlangen-paul-carre,Coworking Space,"Design Offices Erlangen Paul-Carré bietet ein vielseitiges Arbeitsumfeld mit Coworking Spaces, privaten Büroflächen und modernen Meeting- und Konferenzräumen. Der Standort eignet sich für eine Vielzahl von Nutzern, darunter Unternehmen, Projektteams und Einzelpersonen, die flexible und inspirierende Arbeitsumgebungen suchen. Zusätzlich bietet es eine Eventfläche mit Dachterrasse für Business-Events.","Arbeitsplatz, Meeting- und Eventraum","Coworking Spaces, Office Spaces, Meeting Spaces, Conference Spaces, inspirierende Umgebungen für kreative Ideenfindung und Brainstormings, hochwertige Büroausstattung, moderne Meeting- und Tagungsräume, Eventfläche mit Dachterrasse","Freiberufler, Selbständige,Programmierer, Teams, Unternehmen"
Energy Campus Nürnberg (EnCN),Fürther Straße 250,90429,Nürnberg,49.4602808000000,11.028279000000,Point,https://www.encn.de/,Technologietransferzentrum,"Das EnCN ist ein Energieforschungszentrum, das innovative Technologien für ein ganzheitliches Energiesystem entwickelt. Als unabhängiges Forschungsnetzwerk kooperiert es mit verschiedenen Forschungseinrichtungen in der Metropolregion Nürnberg und arbeitet an Projekten, um Lösungen für die Energiezukunft zu entwickeln.","Energieforschungszentrum, Unabhängiges Forschungsnetzwerk","Entwicklung neuer Technologien für ein ganzheitliches Energiesystem, Kooperationen mit Forschungsinstitutionen und Unternehmen","Industriepartner, Forschungseinrichtungen, Unternehmen in der Energiebranche, Wissenschaftscommunity"
ESI-Anwendungszentrum,Nordostpark 84,90411,Nürnberg,49.4862621088774,11.128485216832,Point,https://www.esi-anwendungszentrum.de/,Technologietransferzentrum,"Das ESI-Anwendungszentrum fokussiert sich auf die Entwicklung und Forschung in eingebetteten Systemen. Es bietet anwendungsorientierte Forschung für branchenorientierte Lösungen, mit speziellen Labs für Sport & Gesundheit, Fahrzeugsensorik und Automatisierung im Kontext der Industrie 4.0.","Forschungszentrum für eingebettete Systeme, angewandte Forschungs- und Entwicklung, Digitalisierung","Forschung in eingebetteten Systemen für verschiedene Anwendungsbereiche, Entwicklung von Technologien für Sport & Gesundheit, Fahrzeuge, Industrie 4.0","Industriepartner, Forschungseinrichtungen, Unternehmen, Wissenschaftscommunity"
everyworks bei Design Offices,Bahnhofstraße 2,90402,Nürnberg,49.4487302000000,11.096828300000,Point,https://everyworks.de/locations/nuernberg-hbf/,Coworking Space,"Everyworks Nürnberg bietet am Hauptbahnhof flexible Arbeitsplätze und Meetingräume an. Es ist ideal für Geschäftsreisende und mobile Arbeiter, die einen zentralen und flexiblen Arbeitsplatz benötigen. Mit der Option, Arbeitsplätze und Räume spontan zu buchen, bietet Everyworks eine praktische Lösung für das mobile Arbeiten in zentraler Lage.",Flexible Arbeitsplatzlösung,"Flexible Arbeitsplätze und Meetingräume direkt am Bahnhof, Minute Seat, Daypass, Meeting Rooms, schalldichte Telefonboxen, freie Sitzplatzwahl, inklusive Kaffee, Tee und Wasser","Freiberufler, Selbständige, Geschäftsreisende"
Fab Lab Region Nürnberg e.V.,Schwabacher Straße 512,90763,Fürth,49.4377092000000,10.992528000000,Point,https://fablab-nuernberg.de/,Fablab,"Das FabLab Region Nürnberg e.V. ist ein Fablab und ein Makerspace, die es jedem ermöglicht, eigene Ideen umzusetzen. Das FabLab veranstaltet regelmäßige Events wie das OpenLab und KidsLab sowie Workshops und Kurse zu verschiedenen Themen, darunter auch Inkscape. Es ist ein Ort für kreatives Arbeiten und Lernen, offen für alle Interessierten.",Verein für kreative Technologie und Handwerk,"OpenLab, KidsLab, RepairCafé, TextileLab, Workshops zu verschiedenen Themen, Inkscape Aufbaukurs","Bastler, Konstrukteure, Heimwerker, Bürger, Maker, Kreative, Interessiert an Technologie und Handwerk"
FabLab Landkreis Fürth e.V.,Siegelsdorfer Straße 24,90587,Veitsbronn,49.5112552000000,10.879400900000,Point,https://www.fablab-fuerth.org/,Fablab,"Das FabLab Landkreis Fürth bietet sowohl Mitgliedern als auch Nichtmitgliedern die Möglichkeit, moderne Fertigungstechniken zu nutzen und sich in einem kreativen Umfeld zu engagieren. Es veranstaltet regelmäßige Treffen und Workshops, um den Austausch und das Lernen in den Bereichen Technologie und Handwerk zu fördern.",Gemeinnütziger Verein,"Zugang zu Hightech-Maschinen wie 3D-Drucker, Lasercutter, digitale Stickmaschine, regelmäßige Open Labs, Workshops, Gruppenabende","Bastler, Konstrukteure, Heimwerker, Bürger, Maker, Kreative, Interessiert an Technologie und Handwerk"
FabLab Nürnberger Land e.V.,Birkensteingasse 3,91220,Schnaittach,49.5582249000000,11.341413100000,Point,https://fablab.nueland.de/,Fablab,"Das FabLab NüLand ist ein offenes Werkstattlabor, das der Öffentlichkeit Zugang zu verschiedenen modernen Fertigungstechnologien bietet. Der Verein zieht in neue Räumlichkeiten in Schnaittach um und bietet dort eine Plattform für kreative und technologische Projekte. Es veranstaltet Workshops und ermöglicht das Arbeiten an eigenen Ideen und Projekten in einer kreativen Umgebung.",Gemeinnütziger Verein,"Zugang zu modernen Fertigungstechnologien, Workshops, Projekte im Bereich Technologie und Kreativität","Bastler, Konstrukteure, Heimwerker, Bürger, Maker, Kreative, Interessiert an Technologie und Handwerk"
FAU FabLab,Erwin-Rommel-Straße 60,91058,Erlangen,49.5741451000000,11.029023700000,Point,https://fablab.fau.de/,Fablab,"Das FAU FabLab ist ein offenes Werkstattlabor, das Studierenden, Forschenden und der Öffentlichkeit Zugang zu modernen Fertigungstechnologien bietet. Es unterstützt das kreative und praktische Lernen und dient als Plattform für die Realisierung eigener Projekte und Ideen. Das Labor ist Teil der Technischen Fakultät der Friedrich-Alexander-Universität und fördert den interdisziplinären Austausch und die Zusammenarbeit.",Universitäres FabLab,"Maschinen für Prototyping (wie 3D-Drucker, Lasercutter, Elektronikarbeitsplätze), Workshops und Kurse, OpenLab-Sessions für die Öffentlichkeit","Studierende, Forschende, Maker, Bürger"
FEM{ME}SPACE Bamberg | women work community,Ob. Königstraße 40,96052,Bamberg,49.8967752000000,10.895676200000,Point,femmespacebamberg.de,Coworking Space,"FEM{ME}SPACE bietet in Bamberg einen Coworking Space speziell für Frauen an. Es ist mehr als ein Arbeitsplatz – es ist ein Ort des kreativen Austauschs, der Vernetzung und der Veranstaltung unterschiedlichster Events. Mit einer entspannten Mittagspause in der großen Küche und einem Raum für Besprechungen und Kundentermine, bietet FEM{ME}SPACE eine inspirierende Arbeitsumgebung fernab von Neid und Missgunst.","Arbeitsplatz, Community-Treffpunkt","Coworking Mitgliedschaft, Tagungsraum, Veranstaltungen wie Lesungen, Konferenzen, Seminare, monatlicher Stammtisch, Netzwerk-Events","Frauen, Unternehmen, Freiberufler, Kreative"
Fraunhofer-Institut für Integrierte Schaltungen IIS,Am Wolfsmantel 33,91058,Erlangen,49.5469201000000,11.018640000000,Point,https://www.iis.fraunhofer.de/,"Universitäre und außeruniversitäre Forschung, Technologietransferzentrum, Innovationslabor",Das Fraunhofer IIS ist eine weltweit führende Forschungseinrichtung für mikroelektronische und informationstechnische Systemlösungen. Das Institut ist bekannt für seine anwendungsorientierte Forschung und bietet Dienstleistungen für Industrie und öffentliche Hand. Es fokussiert sich auf Bereiche wie kognitive Sensorik und Audio- und Medientechnologien.,Forschungsinstitut,"Forschung und Entwicklung mikroelektronischer und informationstechnischer Systemlösungen, Dienstleistungen für Industrie und öffentliche Hand","Industriepartner, Öffentliche Hand, Wissenschaftscommunity"
Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),Schloßplatz 4,91054,Erlangen,49.5978721000000,11.004528200000,Point,https://www.fau.de/,Universitäre und außeruniversitäre Forschung,Die Friedrich-Alexander-Universität Erlangen-Nürnberg ist eine der größten Forschungsuniversitäten in Deutschland. Sie bietet ein breites Spektrum an Studiengängen und zeichnet sich durch ihre starke Forschungstradition und internationale Kooperationen aus. Die Universität fördert Innovationen und überwindet dabei fachliche und geografische Grenzen.,Volluniversität,"Studienangebote, Forschungsprojekte, Innovationsförderung","Studieninteressierte, Studierende, Forschende, Wissenschaftler, Lehrende, Wissenschaftscommunity"
Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),Lange Gasse 20,90403,Nürnberg,49.4581289000000,11.086179600000,Point,https://www.fau.de/,Universitäre und außeruniversitäre Forschung,Die Friedrich-Alexander-Universität Erlangen-Nürnberg ist eine der größten Forschungsuniversitäten in Deutschland. Sie bietet ein breites Spektrum an Studiengängen und zeichnet sich durch ihre starke Forschungstradition und internationale Kooperationen aus. Die Universität fördert Innovationen und überwindet dabei fachliche und geografische Grenzen.,Volluniversität,"Studienangebote, Forschungsprojekte, Innovationsförderung","Studieninteressierte, Studierende, Forschende, Wissenschaftler, Lehrende, Wissenschaftscommunity"
Golfpark Office,Georg-Zorn-Straße 37,90765,Fürth,49.4783489000000,11.009656250000,Point,https://www.golfpark-office.de/,Coworking Space,"Das Golfpark Office bietet hochwertig ausgestattete Büroräume in einem ökologisch gebauten Gebäude. Es verfügt über moderne Konferenztechnik, schnelles Internet und flexible Raumgestaltungsmöglichkeiten. Die Einrichtung ist ideal für Unternehmen und Selbstständige, die Wert auf ein angenehmes Arbeitsumfeld und Nachhaltigkeit legen.",Bürogebäude mit umfassendem Service,"Mietflächen für Büro, Produktion, Lager, Fotostudio, Werkstatt, Konferenz- und Teamräume, Besprechungsräume mit Konferenztechnik, schnelle Glasfaser-Internetanbindung, Parkplätze, Grünflächen, Außenbereich für Arbeit mit WLAN, Veranstaltungen, ökologische Bauweise","Freiberufler, Selbständige, Programmierer, Teams, Unternehmen"
hib COWORKING,Äußere Bayreuther Str. 59,90409,Nürnberg,49.4686497000000,11.098934200000,Point,http://nuernberg-coworking.de/,Coworking Space,"hib COWORKING bietet ein flexibles Arbeitsumfeld mit verschiedenen Optionen von Gemeinschaftsbüros bis hin zu privaten Büros und Meetingräumen. Es ist für Personen geeignet, die einen professionellen Arbeitsplatz oder Raum für Seminare, Workshops und Geschäftstreffen suchen. Darüber hinaus bietet es Übernachtungsmöglichkeiten und eine entspannte Arbeitsatmosphäre mit moderner Ausstattung.",Professionelles Arbeitsumfeld,"Gemeinschaftsbüro, private Büros, Meeting Rooms, Projektraum, Seminarraum, Geschäftsadresse mit Postfachservice, Community-Küche, Apartment für Übernachtungen, schnelles WLAN, Drucker & Scanner, Schließfächer, Monitore","Freiberufler, Selbständige, Programmierer, Teams, Unternehmen"
HighTech Center Nürnberg (HTCN),Neumeyerstraße 48,90411,Nürnberg,49.4807890000000,11.120657900000,Point,https://www.htcn.de/,"Gründerzentrum","Das HTCN stellt ein modernes Gebäude in Nordbayern dar, das eine Vielzahl von Unternehmen und wissenschaftlichen Einrichtungen beherbergt. Es bietet modernste Einrichtungen und legt einen Schwerpunkt auf umweltfreundliche Energieversorgung","Zentrum für Büro-, Labor- und Praxisflächen","Moderne Infrastruktur, Büro-, Labor- und Praxisflächen, Co-Working-Spaces, Betriebsrestaurant, Geothermie zur Heizung und Kühlung","Unternehmen aus IT, Start-ups, Forschungseinrichtungen, Unternehmen aus Medizintechnik"
HTK Hygiene Technologie Kompetenzzentrum,Buger Straße 80,96049,Bamberg,49.8671849000000,10.890560200000,Point,https://hygiene-tk.de/,"Universitäre und außeruniversitäre Forschung, Innovationslabor","Das HTK ist ein Institut, das sich auf Hygiene und Infektionsprävention spezialisiert hat und aktiv in den Bereichen Hygienemanagement, Forschung und Services, Training und Qualifizierung sowie als Innovation Hub tätig ist. Es bietet individuelle Beratung und Qualifikation durch ein interdisziplinäres Team und ist Teil der Unternehmensgruppe Sozialstiftung Bamberg.",Anwendungsorientiertes Institut,"Hygienemanagement, Forschung & Services, Training & Qualifizierung, Innovation Hub","Unternehmen aus Medizintechnik, Gesundheits- und Sozialeinrichtungen, Öffentliche Hand"
IGZ Bamberg,Kronacher Straße 41,96052,Bamberg,49.9176997000000,10.897897100000,Point,https://www.igzbamberg.de/,Gründerzentrum,Das IGZ Bamberg konzentriert sich auf die Förderung von Innovationen und die Unterstützung von Unternehmensgründungen. Es bietet Beratungen für Existenzgründer und veranstaltet regelmäßig Events und Workshops. Weitere spezifische Informationen sind auf der Webseite nicht direkt ersichtlich.,Innovations- und Gründerzentrum,"Existenzgründerberatung, Unterstützung für Entwickler und Innovatoren, Veranstaltungen und Beratungstage","Start-ups, Studierende, Unternehmengründer, Forschungseinrichtungen, Kreative, Innovatoren"
IGZ Innovations- und Gründerzentrum,Am Weichselgarten 7,91058,Erlangen,49.5431325000000,11.026153400000,Point,https://www.igz.de/,"Gründerzentrum,Accelerator","Das IGZ ist ein Gründerzentrum für technologieorientierte Unternehmen, das sich auf Robotik und Automation in der Metropolregion Nürnberg, Fürth und Erlangen spezialisiert hat. Das Zentrum bietet umfangreiche Dienstleistungen und setzt auf Open Innovation und enge Zusammenarbeit mit seinen Partnern","Gründerzentrum, Zukunftsstandort für Robotik und Automation","Unternehmensmakler, Beratungsunternehmen, Organisationsberater, Personaldienstleistungen","Start-ups, Studierende, Unternehmengründer, Forschungseinrichtungen"
Innovation Lab for Wearable and Ubiquitous Computing,Carl-Thiersch-Straße 2b,91052,Erlangen,49.5946398000000,11.026177700000,Point,https://www.mad.tf.fau.de/teaching/innolab/#collapse_21,"Universitäre und außeruniversitäre Forschung, Innovationslabor","Das Innovation Lab for Wearable and Ubiquitous Computing an der FAU bietet Studierenden die Möglichkeit, praktische Fragestellungen im Bereich System- und Software-Engineering im Kontext von Wearables und IoT-Geräten kreativ und innovativ zu lösen. Das Labor bietet eine Infrastruktur zur Umsetzung eigener Produktideen oder zur Arbeit an Themen von Industriepartnern und der Universität.",Labor für tragbare und allgegenwärtige Computertechnologien,"Entwicklung und Erprobung von Technologien für Wearables und Ubiquitous Computing, Zusammenarbeit mit Industriepartnern und der Universität","Studierende, Forschende, Industriepartner"
Innovationslabor Industrial IoT,Nordostpark 84,90411,Nürnberg,49.4861912292713,11.128762090612,Point,https://www.iis.fraunhofer.de/de/ff/lv/Innovationslabor.html,Innovationslabor,"Das Innovationslabor Industrial IoT am Fraunhofer IIS bietet Unternehmen eine einzigartige Testumgebung für Industrie 4.0-Anwendungen. Das Labor ermöglicht die Entwicklung, Erprobung und das Testen von Lokalisierungs- und Kommunikationstechnologien und bietet eine umfassende Infrastruktur für die Digitalisierung von Industrieprozessen.","Forschungs- und Entwicklungslabor, Digitalisierung","Entwicklung, Erprobung und Testen von Lokalisierungs- und Kommunikationstechnologien, Individuelle Lösungen und Prototypenentwicklung, 1.400 Quadratmeter Hallen- und Laborfläche für Indoor- und Outdooranwendungen","Industriepartner, Unternehmen, Forschungseinrichtungen"
Institute for Healthcare Robotics and Automation (IFOHRA),Am Werkkanal 6,96047,Bamberg,49.9035033000000,10.868323500000,Point,https://www.ifohra.de/,"Universitäre und außeruniversitäre Forschung, Technologietransferzentrum","Das IFOHRA kombiniert Expertise aus dem Gesundheitswesen und der Industrie, um innovative, humanzentrierte Lösungen zur Effizienzsteigerung im Gesundheitsbereich zu entwickeln und umzusetzen. Es bietet einen Health Check, um Prozesse sowohl qualitativ als auch quantitativ zu bewerten und arbeitet eng mit wissenschaftlichen Beratern zusammen.","Forschungs- und Entwicklungsinstiut, Technologietransferzentrum","Entwicklung von robotik- und automatisierungsbasierten Lösungen für das Gesundheitswesen, Prozessanalyse, Realisierung von individuellen, auf Business Cases basierten Lösungen, Implementierung zukunftsweisender Technologien","Gesundheitsdienstleister, Krankenhäuser, medizinische Einrichtungen"
IT-Cluster Oberfranken,Kronacher Straße 41,96052,Bamberg,49.9176997000000,10.897897100000,Point,https://www.it-cluster-oberfranken.de/,Cluster & Innovationsagentur,"Das IT-Cluster Oberfranken ist ein regionales Netzwerk, das sich der Förderung von IT-Themen und der Vernetzung von Unternehmen und Institutionen in Oberfranken widmet. Es organisiert regelmäßige Events und Workshops und dient als Wissens- und Wachstumspool in der IT-Branche.",Regionales Netzwerk für IT-Unternehmen und Institutionen,"Vernetzung von Unternehmen und Institutionen, Förderung von IT- und Zukunftsthemen, Veranstaltungen, Workshops, Meetups","Unternehmen aus IT, Institutionen, Start-ups, Wissenschaftler"
